UTC_Seconds_Of_Day,Latitude(deg),Longitude(deg),WGS84_Ellipsoid_Height(m),South-to-North_Slope,West-to-East_Slope,RMS_Fit(cm),Number_Of_ATM_Measurments_Used,Number_Of_ATM_Measurements_Removed,Distance_Of_Block_To_The_Right_Of_Aircraft(m),Track_Identifier
54969.5,69.262002,310.351764,490.3974,0.0773541,-0.0691788,589.57,3723,5,78,1
54969.5,69.262065,310.353395,500.233,-0.0487766,0.0060238,434.12,2185,21,14,2
54969.5,69.262128,310.355026,500.309,0.0687983,0.0775594,777.8,3640,8,-51,3
54969.5,69.262079,310.353741,498.9152,-0.0856004,-0.1110013,472.64,2818,15,0,0
54969.75,69.261648,310.351873,487.1317,0.108085,-0.0788267,520.83,3753,33,78,1
54969.75,69.261711,310.353504,501.2112,-0.0005768,0.0663457,402.6,2115,23,14,2
54969.75,69.261774,310.355135,499.8554,0.0140066,-0.0191254,661.21,3595,0,-51,3
54969.75,69.261725,310.35385,500.6826,-0.0277619,-0.0566907,446.38,2732,30,0,0
54970,69.261291,310.351888,482.6584,0.0902912,-0.099601,522.68,3640,59,82,1
54970,69.261355,310.353557,501.4295,0.0101767,0.0612821,396.69,2255,41,16,2
54970,69.261419,310.355225,499.6704,-0.0348815,-0.007176,503.03,3594,42,-50,3
54970,69.261371,310.353959,501.1722,0.0136094,-0.0554231,373.41,2839,33,0,0
54970.25,69.260937,310.351997,476.6022,0.1531325,-0.1200797,521.56,3499,203,82,1
54970.25,69.261001,310.353665,502.2225,-0.0115631,0.0336714,390.32,2245,58,16,2
54970.25,69.261066,310.355334,500.4745,-0.0301365,0.0764497,472.85,3571,24,-50,3
54970.25,69.261017,310.354068,501.2428,-0.0073865,-0.0668336,420.73,2846,31,0,0
54970.5,69.260582,310.352078,477.3072,0.1074648,0.222031,903.53,3651,0,83,1
54970.5,69.260645,310.353716,502.1442,-0.0196658,-0.0046147,396.07,2259,27,18,2
54970.5,69.260708,310.355354,500.605,-0.012667,0.2266807,527.69,3623,15,-47,3
54970.5,69.260663,310.354177,500.3445,-0.0093876,-0.1174704,451.22,2912,9,0,0
54970.75,69.260226,310.352127,476.1087,0.0885897,0.4573326,989.49,3545,0,85,1
54970.75,69.260289,310.353754,502.7578,-0.0021184,-0.0641797,424.58,2280,36,21,2
54970.75,69.260351,310.35538,500.7568,-0.0103132,0.3693843,580.54,3714,6,-43,3
54970.75,69.260309,310.354285,499.5473,0.0109001,-0.1696589,466.03,2898,22,0,0
54971,69.259873,310.352229,477.1458,0.0377258,0.683546,872.87,3523,0,86,1
54971,69.259935,310.353842,501.5361,0.0447954,-0.1314237,556.4,2313,5,22,2
54971,69.259997,310.355456,501.8587,-0.0088334,0.3936349,623.64,3697,1,-42,3
54971,69.259956,310.354394,498.4757,0.0440447,-0.1288995,605.13,2914,26,0,0
54971.25,69.259519,310.352336,479.1514,0.0311589,0.7282631,847.23,3555,0,86,1
54971.25,69.259581,310.353948,498.198,0.0819298,-0.1342296,622.28,2339,2,22,2
54971.25,69.259643,310.355561,503.4018,0.0077304,0.3679917,697.99,3689,0,-42,3
54971.25,69.259602,310.354502,497.243,0.0183614,-0.0014605,792.54,2983,0,0,0
54971.5,69.259165,310.35243,479.8203,0.0288207,0.6894556,839.57,3566,2,86,1
54971.5,69.259226,310.354014,495.1346,0.1140783,-0.051736,713.03,2298,0,24,2
54971.5,69.259287,310.355598,503.9514,0.0277524,0.2553303,768.55,3726,1,-39,3
54971.5,69.259249,310.35461,496.6962,0.0043819,0.1647353,834.26,2960,0,0,0
54971.75,69.258812,310.352559,479.7771,0.0548355,0.5358918,848.33,3662,0,86,1
54971.75,69.258873,310.354135,491.7798,0.0969727,0.1667544,898.78,2277,0,23,2
54971.75,69.258934,310.35571,505.4307,0.02224,0.0366404,684.9,3672,18,-39,3
54971.75,69.258895,310.354719,496.6524,-0.0067089,0.3886476,575.82,2936,94,0,0
54972,69.258458,310.352631,478.9611,0.0515027,0.4420203,654.25,3667,8,87,1
54972,69.258519,310.354221,490.0243,0.0317789,0.3294069,767.61,2253,19,24,2
54972,69.25858,310.355812,506.4589,-0.0188626,-0.0899285,605.24,3656,1,-39,3
54972,69.258542,310.354827,498.4582,0.0070738,0.438709,569.49,3016,15,0,0
54972.25,69.258103,310.352719,479.4066,0.019727,0.4181734,548.95,3643,6,88,1
54972.25,69.258164,310.354288,489.4715,0.0050235,0.2598328,804.46,2206,0,26,2
54972.25,69.258225,310.355857,506.7784,-0.0270498,-0.1243291,532.67,3711,24,-36,3
54972.25,69.258189,310.354936,498.694,0.045363,0.4110998,699.34,3058,0,0,0
54972.5,69.25775,310.352813,481.1856,-0.038954,0.4268172,559.41,3656,3,88,1
54972.5,69.257811,310.354388,490.7637,-0.0294209,0.1489978,829.35,2252,0,26,2
54972.5,69.257872,310.355963,505.1495,0.0400458,-0.1253758,534.77,3687,48,-36,3
54972.5,69.257836,310.355045,498.2772,0.084575,0.2977497,785.33,3139,3,0,0
54972.75,69.257396,310.352918,484.453,-0.0581561,0.4216437,513.78,3646,3,89,1
54972.75,69.257457,310.354486,491.5103,-0.0560371,-0.0920618,376.83,2140,130,26,2
54972.75,69.257518,310.356054,503.3241,0.0567355,0.0684064,727.78,3711,7,-36,3
54972.75,69.257483,310.355154,496.5568,0.0975362,0.1857326,738.36,3153,3,0,0
54973,69.257043,310.353022,488.0664,-0.0658622,0.3570043,515.22,3622,49,89,1
